date,open,high,low,close
2019-05-06,5772.581488954,5782.449597263,5653.180375054,5742.762539512
2019-05-07,5740.528083725,5992.989650411,5739.282096674,5855.204284185
2019-05-08,5835.957517321,5973.935495865,5798.867412876,5973.935495865
2019-05-09,5973.099793055,6196.673171019,5973.099793055,6187.660821162
2019-05-10,6184.921253719,6429.716712429,6174.133217691,6386.691489533
2019-05-11,6393.002585585,7342.598761177,6391.280169946,7235.877636404
2019-05-12,7201.642617775,7510.847160734,6844.12606548,6992.035883656
2019-05-13,7010.551665358,8054.538413923,6941.761153096,7813.193116445
2019-05-14,7797.7392335,8260.695888689,7711.297934298,8028.236494406
2019-05-15,8002.661523871,8181.247379068,7867.372970654,8181.247379068
2019-05-16,8145.555620727,8318.802551283,7795.804840835,7918.875904937
2019-05-17,7923.05133892,7961.08326911,7083.26499268,7382.337789468
2019-05-18,7393.579773489,7511.650425797,7295.380303288,7332.609911221
2019-05-19,7328.418962598,8237.723663509,7328.418962598,8186.662732404
2019-05-20,8172.974801761,8172.974801761,7715.421068381,8004.459953952
2019-05-21,8004.576724034,8090.522839454,7864.922724498,7984.314133126
2019-05-22,7965.942975048,8010.772118223,7731.159044375,7744.861886829
2019-05-23,7730.828702835,7987.269266548,7579.508192006,7919.729554358
2019-05-24,7922.301226611,8134.670180783,7858.212310867,8021.477876494
2019-05-25,8023.417666592,8137.406250807,7991.341944201,8104.73204645
2019-05-26,8101.121878369,8762.008200617,7971.658538311,8736.628563948
2019-05-27,8751.57317691,8969.151504594,8652.925343603,8857.096555519
2019-05-28,8836.762648241,8849.546725109,8647.460499139,8721.6157416
2019-05-29,8719.9617362,8766.059974977,8549.555400527,8672.98537276
2019-05-30,8669.269146886,8991.45418257,8306.121949591,8380.86840038
2019-05-31,8333.864737938,8613.058555746,8217.012517843,8606.278615403
2019-06-01,8599.053486258,8634.384312171,8522.97723213,8596.109824225
2019-06-02,8598.78500222,8806.181716754,8586.830124871,8781.231372894
2019-06-03,8771.296312752,8771.296312752,8362.955080545,8362.955080545
2019-06-04,8341.434666054,8341.434666054,7651.972247475,7760.01105779
2019-06-05,7768.517747861,7919.574241385,7714.461245668,7860.506170985
2019-06-06,7863.512301938,7913.658342535,7623.176900011,7846.273224235
2019-06-07,7840.578080515,8116.89009633,7801.596203718,8070.900978356
2019-06-08,8060.736271864,8096.736821456,7883.568612159,7974.683977197
2019-06-09,7979.720898905,8001.182588562,7713.072533886,7750.808728267
2019-06-10,7752.220272896,8050.146086236,7635.914553819,8000.570019137
2019-06-11,8014.897946837,8025.31929234,7817.896081731,7962.756329737
2019-06-12,7969.985301593,8191.895037148,7900.587729118,8159.590368523
2019-06-13,8174.400584225,8368.744385691,8135.076369052,8286.913173816
2019-06-14,8291.198962219,8734.624600079,8253.963495841,8696.970842738
2019-06-15,8708.232513039,8880.23284317,8651.785868277,8859.597053629
2019-06-16,8861.692265355,9391.965327231,8839.579216261,9025.723641831
2019-06-17,9026.522571994,9403.695555879,9026.522571994,9328.082235709
2019-06-18,9341.199474731,9353.32056726,9042.990003328,9125.090764169
2019-06-19,9129.651002395,9328.237785968,9111.404748221,9311.883211721
2019-06-20,9310.156899543,9634.463338388,9299.436433025,9589.390555221
2019-06-21,9590.2082253,10162.203698127,9590.2082253,10162.203698127
2019-06-22,10227.362383055,11154.878298083,10128.357139209,10719.807804423
2019-06-23,10717.06273697,11204.170999299,10585.083730998,10880.051309618
2019-06-24,10899.114587489,11072.753380556,10679.372837767,11013.963603928
2019-06-25,11013.875187462,11810.127825701,11013.875187462,11810.127825701
